part,layer,timestep,level,lambda,vs,mse,rmse,rel_rmse,cosine_global,cosine_row_mean,cosine_row_median,cosine_row_p05,cosine_row_min,max_abs_err,skip_rate,force_keep_count,dropped_mass_mean,dropped_mass_p95,dropped_mass_max
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.03,no_skip_fp8,0.00018602429190650582,0.013639072252411665,0.03217238187789917,0.9995726346969604,0.9994981288909912,0.9999838471412659,0.9977536797523499,0.8195319175720215,0.9053023457527161,0.3589951989026063,,,,
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.1,ground_truth,0.0010842836927622557,0.032928463261474195,0.07750269025564194,0.9973016381263733,0.9970431923866272,0.9991275072097778,0.9875282049179077,0.4965810477733612,2.3743090629577637,0.46096922153635117,0,0.07100943475961685,0.25127196311950684,0.7684708833694458
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.1,no_skip_fp8,0.0006452410016208887,0.025401594470050276,0.05991828069090843,0.9985379576683044,0.9977553486824036,0.9998496770858765,0.9890184998512268,0.7377267479896545,1.0765266418457031,0.46096922153635117,,,,
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.2,ground_truth,0.001658606226556003,0.04072598957123084,0.0958554819226265,0.9960002303123474,0.9942919611930847,0.9984040260314941,0.9745863676071167,0.4965810477733612,2.3743090629577637,0.5233753429355281,0,0.11030783504247665,0.36588820815086365,0.8468555212020874
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.2,no_skip_fp8,0.0012302795657888055,0.03507534127829415,0.08273710310459137,0.9972127079963684,0.9949768781661987,0.9995265603065491,0.9751849174499512,0.6453778743743896,1.420645833015442,0.5233753429355281,,,,
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.3,ground_truth,0.002235907595604658,0.04728538458767845,0.11129412055015564,0.9946885108947754,0.9910386800765991,0.9975836873054504,0.9597009420394897,0.4612741768360138,2.3743090629577637,0.5642138203017832,0,0.1432982087135315,0.44750767946243286,0.8778892159461975
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.3,no_skip_fp8,0.001815669471397996,0.04261067320986604,0.10051173716783524,0.9958824515342712,0.991700291633606,0.9990215301513672,0.9598795771598816,0.45835357904434204,1.4830867052078247,0.5642138203017832,,,,
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.5,ground_truth,0.003822087775915861,0.06182303596488821,0.1455109417438507,0.9909932017326355,0.979091227054596,0.9952421188354492,0.912981390953064,0.33125215768814087,2.3743090629577637,0.6359234396433471,0,0.21128566563129425,0.5923197269439697,0.9501311779022217
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.5,no_skip_fp8,0.0034151289146393538,0.05843910432783304,0.13784846663475037,0.992154061794281,0.9797036051750183,0.9969003200531006,0.9126883745193481,0.33008137345314026,1.653406023979187,0.6359234396433471,,,,
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.7,ground_truth,0.005926341284066439,0.07698273367493803,0.1811918318271637,0.9860832691192627,0.9615659117698669,0.9889470338821411,0.8218206763267517,0.2205786406993866,2.3743090629577637,0.7175813614540466,0,0.2951665222644806,0.7185537815093994,0.9605308771133423
wan21_p1,layer_39,timestep_49,fp8_static_p_skip,0.7,no_skip_fp8,0.0055291359312832355,0.07435815981641312,0.17539896070957184,0.9872176647186279,0.9621353149414062,0.9900779724121094,0.8213481307029724,0.2233220487833023,1.8309528827667236,0.7175813614540466,,,,
wan21_p1,layer_39,timestep_6,bf16_ref,,ground_truth,3.9824388409215317e-07,0.0006310656733590832,0.001981954323127866,0.9999979734420776,0.9999974370002747,0.9999974370002747,0.9999960660934448,0.9999884366989136,0.016276121139526367,,,,,
wan21_p1,layer_39,timestep_6,fp8_qkv,,ground_truth,0.00016411778051406145,0.012810846206010806,0.040234338492155075,0.9991903305053711,0.9995856881141663,0.9999805688858032,0.9986497163772583,0.47403454780578613,2.7614712715148926,,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p,,ground_truth,0.00016570254229009151,0.012872549952907214,0.04042813181877136,0.9991827607154846,0.9995790123939514,0.9999810457229614,0.9986131191253662,0.47410210967063904,2.7623331546783447,,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.0,ground_truth,0.00016570254229009151,0.012872549952907214,0.04042813181877136,0.9991827607154846,0.9995790123939514,0.9999810457229614,0.9986131191253662,0.47410210967063904,2.7623331546783447,0.0,0,0.0,0.0,0.0
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.0,no_skip_fp8,0.0,0.0,0.0,0.9999998807907104,1.0,1.0,0.9999998807907104,0.9999996423721313,0.0,0.0,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.001,ground_truth,0.0001658854162087664,0.012879651245618663,0.040450435131788254,0.9991818070411682,0.9995786547660828,0.9999809861183167,0.9986123442649841,0.47410210967063904,2.7623331546783447,0.09589514746227709,0,0.0003553977585397661,0.002356923185288906,0.029057709500193596
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.001,no_skip_fp8,9.943548917590306e-08,0.0003153339328012497,0.000992073561064899,0.9999994039535522,0.9999996423721313,1.0,0.9999988675117493,0.9997325539588928,0.028105974197387695,0.09589514746227709,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.003,ground_truth,0.00016662864072714,0.01290847166503998,0.04054094851016998,0.999177873134613,0.9995759129524231,0.9999805688858032,0.9986038208007812,0.47410210967063904,2.7623331546783447,0.13053506515775035,0,0.0013966836268082261,0.008528725244104862,0.06633825600147247
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.003,no_skip_fp8,8.78058017406147e-07,0.0009370475000799837,0.0029480494558811188,0.9999958872795105,0.9999968409538269,1.0,0.9999856948852539,0.9983291029930115,0.07141143083572388,0.13053506515775035,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.01,ground_truth,0.00017359397315885872,0.013175506561755366,0.04137961566448212,0.9991448521614075,0.9995454549789429,0.9999783635139465,0.9984337687492371,0.47410210967063904,2.7623331546783447,0.18662405692729767,0,0.005512383300811052,0.029038362205028534,0.17925912141799927
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.01,no_skip_fp8,7.791529242240358e-06,0.002791331087893437,0.008781819604337215,0.9999647736549377,0.999965250492096,0.9999999403953552,0.9998247027397156,0.9840244650840759,0.1584644317626953,0.18662405692729767,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.03,ground_truth,0.00022278260439634323,0.014925903805007697,0.04687699303030968,0.9989199638366699,0.9992858171463013,0.9999665021896362,0.9969369173049927,0.47410210967063904,2.7623331546783447,0.2602163065843621,0,0.01856643334031105,0.08362013101577759,0.4019569754600525
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.03,no_skip_fp8,5.7126973842969164e-05,0.0075582388056325105,0.02377901040017605,0.9997427463531494,0.9997014403343201,0.9999998211860657,0.9985409379005432,0.8541697859764099,0.5771130323410034,0.2602163065843621,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.1,ground_truth,0.0012892548693343997,0.035906195417147714,0.11276867240667343,0.9940333962440491,0.9942798614501953,0.999579131603241,0.9834362268447876,0.45258432626724243,2.7623331546783447,0.3920919067215364,0,0.07222498208284378,0.2523203492164612,0.643185555934906
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.1,no_skip_fp8,0.0011278806487098336,0.03358393438401513,0.10565857589244843,0.9948424696922302,0.9946754574775696,0.9997970461845398,0.985074520111084,0.4553607106208801,1.2176684141159058,0.3920919067215364,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.2,ground_truth,0.0035405680537223816,0.059502672660329985,0.18687687814235687,0.9840595722198486,0.9846435785293579,0.9975091814994812,0.9513677954673767,0.21269141137599945,2.7623331546783447,0.49953883744855965,0,0.14202257990837097,0.42919620871543884,0.7486279606819153
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.2,no_skip_fp8,0.0033839233219623566,0.058171499223952934,0.18301361799240112,0.9848456382751465,0.9850090146064758,0.998043417930603,0.9514902234077454,0.221241295337677,1.3000001907348633,0.49953883744855965,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.3,ground_truth,0.005232759285718203,0.07233781366421163,0.22718751430511475,0.9767975807189941,0.9750791788101196,0.9941869974136353,0.8978109955787659,0.21211814880371094,2.7623331546783447,0.5780325788751715,0,0.20695504546165466,0.5587453842163086,0.8631752729415894
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.3,no_skip_fp8,0.005078914575278759,0.07126650388000494,0.2242118865251541,0.977567732334137,0.9754191040992737,0.9948606491088867,0.8976989388465881,0.21373997628688812,1.3542735576629639,0.5780325788751715,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.5,ground_truth,0.008258609101176262,0.09087688980800489,0.2854121923446655,0.9638792276382446,0.9538052678108215,0.983161211013794,0.8098884224891663,0.12684109807014465,2.7623331546783447,0.7064013203017833,0,0.3370741605758667,0.6946969032287598,0.9198132157325745
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.5,no_skip_fp8,0.00810769759118557,0.09004275424033613,0.28328394889831543,0.9646252989768982,0.954105019569397,0.9835885763168335,0.8096263408660889,0.13813017308712006,1.3553142547607422,0.7064013203017833,,,,
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.7,ground_truth,0.011660889722406864,0.107985599606646,0.33914461731910706,0.9494427442550659,0.9283809065818787,0.9653717279434204,0.7388653755187988,0.09134788811206818,2.7623331546783447,0.8102794924554184,0,0.4680686295032501,0.7963954210281372,0.9604383707046509
wan21_p1,layer_39,timestep_6,fp8_static_p_skip,0.7,no_skip_fp8,0.011511473916471004,0.10729153702166357,0.33755040168762207,0.9501665830612183,0.9286476373672485,0.9655226469039917,0.7386624217033386,0.0933605283498764,1.720477819442749,0.8102794924554184,,,,
wan21_p1,layer_39,timestep_9,bf16_ref,,ground_truth,4.155394037752558e-07,0.0006446234589085754,0.001928745536133647,0.9999980330467224,0.9999974370002747,0.9999974966049194,0.9999960660934448,0.9999881982803345,0.018282651901245117,,,,,
wan21_p1,layer_39,timestep_9,fp8_qkv,,ground_truth,0.0002005821734201163,0.01416270360560145,0.04237551614642143,0.9991018176078796,0.9996002316474915,0.9999791383743286,0.9986211061477661,0.5534319877624512,2.81929874420166,,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p,,ground_truth,0.00020234467228874564,0.014224790764322181,0.04256128519773483,0.9990938305854797,0.9995937347412109,0.9999794363975525,0.99858558177948,0.5534608364105225,2.81929874420166,,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.0,ground_truth,0.00020234467228874564,0.014224790764322181,0.04256128519773483,0.9990938305854797,0.9995937347412109,0.9999794363975525,0.99858558177948,0.5534608364105225,2.81929874420166,0.0,0,0.0,0.0,0.0
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.0,no_skip_fp8,0.0,0.0,0.0,0.9999999403953552,1.0,1.0,0.9999998807907104,0.9999996423721313,0.0,0.0,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.001,ground_truth,0.00020250013039913028,0.014230254052515377,0.042577628046274185,0.9990931153297424,0.9995934367179871,0.9999794363975525,0.9985842704772949,0.5534608364105225,2.81929874420166,0.09298705418381344,0,0.0003462401800788939,0.0022997017949819565,0.03817984461784363
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.001,no_skip_fp8,1.136283387381809e-07,0.0003370880281739191,0.0010098324855789542,0.9999995827674866,0.9999996423721313,1.0,0.9999990463256836,0.9996914863586426,0.03981757164001465,0.09298705418381344,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.003,ground_truth,0.00020328155369497836,0.014257684022834085,0.0426596999168396,0.9990898370742798,0.9995909333229065,0.9999790787696838,0.9985750913619995,0.5534608364105225,2.81929874420166,0.12611719821673525,0,0.0013682931894436479,0.008552195504307747,0.09519196301698685
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.003,no_skip_fp8,1.0092862794408575e-06,0.001004632410108721,0.0030096308328211308,0.999995768070221,0.9999967217445374,1.0,0.9999862909317017,0.9977191686630249,0.0976758599281311,0.12611719821673525,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.01,ground_truth,0.00021080092119518667,0.014518984854155152,0.0434415265917778,0.9990586638450623,0.9995606541633606,0.9999766945838928,0.9984144568443298,0.5534608364105225,2.81929874420166,0.18087825788751716,0,0.0054444242268800735,0.029106099158525467,0.21714462339878082
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.01,no_skip_fp8,8.690863978699781e-06,0.0029480271333045395,0.008831561543047428,0.9999645948410034,0.999965250492096,0.9999999403953552,0.9998290538787842,0.9700170755386353,0.1976163387298584,0.18087825788751716,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.03,ground_truth,0.00025855613057501614,0.016079680673913153,0.0481112040579319,0.9988645911216736,0.9993196725845337,0.999964714050293,0.9969688653945923,0.5534608364105225,2.81929874420166,0.2542148491083676,0,0.018433449789881706,0.08392750471830368,0.4602181315422058
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.03,no_skip_fp8,5.715212319046259e-05,0.007559902326780591,0.02264760062098503,0.9997684955596924,0.999719500541687,0.9999998211860657,0.9985353350639343,0.8692128658294678,0.3499511480331421,0.2542148491083676,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.1,ground_truth,0.001012133085168898,0.03181403912062877,0.09518919140100479,0.9957528710365295,0.9951477646827698,0.999609112739563,0.9834008812904358,0.5402460098266602,2.81929874420166,0.38501946159122086,0,0.07122337818145752,0.25494784116744995,0.6254527568817139
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.1,no_skip_fp8,0.0008182941237464547,0.02860584072783834,0.0856960341334343,0.9966243505477905,0.9955185055732727,0.9998390078544617,0.9846893548965454,0.5453827381134033,1.086419701576233,0.38501946159122086,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.2,ground_truth,0.0031864908523857594,0.05644901108421439,0.16889823973178864,0.9869239926338196,0.9847447276115417,0.9977768063545227,0.9527236223220825,0.19250813126564026,2.81929874420166,0.4914844821673525,0,0.1398715376853943,0.4306158423423767,0.7590909600257874
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.2,no_skip_fp8,0.003000462893396616,0.054776481206779026,0.16409681737422943,0.9877569079399109,0.9850755929946899,0.9983348846435547,0.9527542591094971,0.18266171216964722,1.2354743480682373,0.4914844821673525,,,,
wan21_p1,layer_39,timestep_9,fp8_static_p_skip,0.3,ground_truth,0.0049628992564976215,0.0704478477776122,0.2107834666967392,0.9799683094024658,0.9753894209861755,0.994825005531311,0.9085605144500732,0.13098487257957458,2.81929874420166,0.5678557098765432,0,0.20187941193580627,0.5604544878005981,0.8293594121932983
